Club	Club_country	League
Bournemouth	England	Premier League
Arsenal	England	Premier League
Aston Villa	England	Premier League
Chelsea	England	Premier League
Crystal Palace	England	Premier League
Everton	England	Premier League
Leicester City	England	Premier League
Liverpool	England	Premier League
Manchester City	England	Premier League
Manchester United	England	Premier League
Newcastle United	England	Premier League
Norwich City	England	Premier League
Southampton	England	Premier League
Stoke City	England	Premier League
Sunderland	England	Premier League
Swansea City	England	Premier League
Tottenham Hotspur	England	Premier League
Watford	England	Premier League
West Bromwich Albion	England	Premier League
West Ham United	England	Premier League
Atalanta	Italy	Serie A
Bologna	Italy	Serie A
Carpi	Italy	Serie A
Chievo Verona	Italy	Serie A
Empoli	Italy	Serie A
Fiorentina	Italy	Serie A
Frosinone	Italy	Serie A
Genoa	Italy	Serie A
Hellas Verona	Italy	Serie A
Inter	Italy	Serie A
Juventus	Italy	Serie A
Lazio	Italy	Serie A
Milan	Italy	Serie A
Napoli	Italy	Serie A
Palermo	Italy	Serie A
Roma	Italy	Serie A
Sampdoria	Italy	Serie A
Sassuolo	Italy	Serie A
Torino	Italy	Serie A
Udinese	Italy	Serie A
FC Augsburg	Germany	Bundesliga
Bayer 04 Leverkusen	Germany	Bundesliga
FC Bayern München	Germany	Bundesliga	 
Borussia Dortmund	Germany	Bundesliga	
Borussia Mönchengladbach	Germany	Bundesliga
SV Darmstadt 98	Germany	Bundesliga	
Eintracht Frankfurt	Germany	Bundesliga	
Hamburger SV	Germany	Bundesliga
Hannover 96	Germany	Bundesliga
Hertha BSC	Germany	Bundesliga
TSG 1899 Hoffenheim	Germany	Bundesliga
FC Ingolstadt 04	Germany	Bundesliga
1. FC Köln	Germany	Bundesliga
1. FSV Mainz 05	Germany	Bundesliga	
FC Schalke 04	Germany	Bundesliga		
VfB Stuttgart	Germany	Bundesliga		
SV Werder Bremen	Germany	Bundesliga	
VfL Wolfsburg	Germany	Bundesliga
Bilbao Athletic	Spain	La Liga
Atlético Madrid	Spain	La Liga
FC Barcelona	Spain	La Liga
RC Celta	Spain	La Liga
Deportivo de La Coruña	Spain	La Liga
SD Eibar	Spain	La Liga
RCD Espanyol	Spain	La Liga
Getafe CF	Spain	La Liga
Granada CF	Spain	La Liga
UD Las Palmas	Spain	La Liga
Levante UD	Spain	La Liga
Málaga	Spain	La Liga
Rayo Vallecano	Spain	La Liga
Real Betis	Spain	La Liga
Real Madrid	Spain	La Liga
Real Sociedad	Spain	La Liga
Sevilla FC	Spain	La Liga
Real Sporting de Gijón	Spain	La Liga
Valencia CF	Spain	La Liga
Villarreal CF	Spain	La Liga
Angers SCO	France	Ligue 1
Sporting Club de Bastia	France	Ligue 1
FC Girondins de Bordeaux	France	Ligue 1
Stade Malherbe Caen	France	Ligue 1
GFC Ajaccio	France	Ligue 1
En Avant de Guingamp	France	Ligue 1
LOSC Lille	France	Ligue 1
FC Lorient	France	Ligue 1
Olympique Lyonnais	France	Ligue 1
Olympique de Marseille	France	Ligue 1
AS Monaco	France	Ligue 1
Montpellier HSC	France	Ligue 1
FC Nantes	France	Ligue 1
OGC Nice	France	Ligue 1
Paris Saint-Germain	France	Ligue 1
Stade de Reims	France	Ligue 1
Stade Rennais FC	France	Ligue 1
AS Saint-Étienne	France	Ligue 1
Toulouse Football Club	France	Ligue 1
ESTAC Troyes	France	Ligue 1
